year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2012;0.567;0.591;0.784;0.740;0.667;0.827;0.833;0.676;0.624;0.816;0.671
2011;0.596;0.717;0.753;0.760;0.711;0.754;0.769;0.527;0.702;0.692;0.706
2010;0.679;0.698;0.726;0.722;0.623;0.827;0.709;0.730;0.685;0.811;0.750
2009;0.667;0.615;0.733;0.618;0.564;0.679;0.840;0.667;0.783;0.771;0.765
2008;0.704;0.657;0.648;0.565;;0.533;0.784;0.607;0.626;0.700;0.835
2007;0.700;0.655;0.708;0.671;;0.771;0.842;0.684;0.829;0.750;0.808
2006;0.800;0.639;0.492;0.646;;0.817;0.836;0.698;0.696;0.707;0.859
2005;0.686;0.655;0.633;0.750;;0.754;0.786;0.742;0.816;0.727;0.833
2004;0.827;0.702;0.694;0.658;;0.831;0.724;0.574;0.713;;0.735
2003;0.653;0.629;0.634;0.832;;;0.839;0.640;0.769;;0.800
2002;0.685;0.729;0.604;0.750;;;0.815;0.548;0.600;;0.786
2001;0.683;0.754;0.556;0.729;;;;0.652;0.735;;0.775
2000;0.699;0.641;0.549;;;;;;0.796;;0.786
1999;0.693;0.704;0.540;;;;;;0.667;;0.766
1998;0.737;0.610;;;;;;;0.766;;
1997;;;;;;;;;0.824;;
