2013;Amanda Schwartz,Hyunsook Do;A Fuzzy Expert System for Cost-Effective Regression Testing Strategies;;;;;selected
2013;Tanja Toroi,Anu Valtanen,Lauri Vaatainen;Identifying Process Improvement Targets in Test Processes: A Case Study;;;;;selected
2013;Mika Mantyla,Foutse Khomh,Bram Adams,Emelie Engstrom,Kai Petersen;On rapid releases and software testing;;;;;selected
2013;Jan Harder;How multiple developers affect the evolution of code clones;;;;;selected
2013;Wenyi Qian,Xin Peng,Zhenchang Xing,Stanislaw Jarzabek,Wenyun Zhao;Mining Logical Clones in Software: Revealing High-Level Business and Programming Rules;;;;;selected
2013;Saman Bazrafshan,Rainer Koschke;An Empirical Study of Clone Removals;;;;;selected
2013;Daqing Hou,Lingfeng Mo;Content Categorization of API Discussions;;;;;selected
2013;Tyler McDonnell,Baishakhi Ray,Miryung Kim;An empirical study of API stability and adoption in the Android Ecosystem;;;;;selected
2013;Hani Abdeen,Houari A. Sahraoui,Osama Shata;How we design interfaces, and how to assess it;;;;;selected
2013;Kapil Anand,Khaled Elwazeer,Aparna Kotha,Matthew Smithson,Rajeev Barua,Angelos D. Keromytis;An Accurate Stack Memory Abstraction and Symbolic Analysis Framework for Executables;;;;;selected
2013;Rui Xin,Shiqiu Huang,Chengcheng Xiang,Yudi Zheng,Zhengwei Qi;An Automation-assisted Empirical Study on Lock Usage for Concurrent Programs;;;;;selected
2013;Mark D. Syer,Zhen Ming Jiang,Meiyappan Nagappan,Ahmed E. Hassan,Mohamed Nasser,Parminder Flora;Leveraging Performance Counters and Execution Logs to Diagnose Memory-Related Performance Issues;;;;;selected
2013;Davy Landman,Paul Klint,Jurgen J. Vinju;Exploring the Limits of Domain Model Recovery;;;;;selected
2013;Yvan Labiche,Bojana Kolbah,Hossein Mehrfard;Combining static and dynamic analyses to reverse-engineering scenario diagrams;;;;;selected
2013;Mohd Hafeez Osman,Michel R. V. Chaudron,Peter van der Putten;An Analysis of Machine Learning Algorithms for Condensing Reverse Engineered Class Diagrams;;;;;selected
2013;Hoan Anh Nguyen,Hung Nguyen,Tung Thanh Nguyen,Tien N. Nguyen;Output-oriented Refactoring in PHP-based Dynamic Web Applications;;;;;selected
2013;Syed Muhammad Ali Shah,Jens Dietrich,Catherine McCartin;On the Automation of Dependency-Breaking Refactorings in Java;;;;;selected
2013;Young-Woo Kwon,Eli Tilevich;Reducing the Energy Consumption of Mobile Applications Behind the Scenes;;;;;selected
2013;Yuhua Qi,Xiaoguang Mao,Yan Lei;Efficient Automated Program Repair through Fault-Recorded Testing Prioritization;;;;;selected
2013;Giuseppe Scanniello,Michele Risi;Dealing with Faults in Source Code: Abbreviated vs. Full-Word Identifier Names;;;;;selected
2013;Yuan Tian,David Lo,Chengnian Sun;DRONE: Prediction Priority of Reported Bugs by Multi-Factor Analysis;;;;;selected
