2012;Mircea Lungu,Oscar Nierstrasz;Agile software assessment (Invited paper).;3-10;8;Invited Papers;;
2012;Robert DeLine;Studying developers for fun and profit: (Keynote abstract).;11;1;Invited Papers;;
2012;Norman Wilde,Vaclav Rajlich;A retrospective view on: The role of concepts in program comprehension: (MIP award).;12-13;2;Invited Papers;;
2012;Rainer Koschke,Bernhard Katzmarski;Program complexity metrics and programmer opinions.;17-26;10;Main Research Track;Cognitive Processes;selected
2012;Zohreh Sharafi,Zephyrin Soh,Yann-Gael Gueheneuc,Giuliano Antoniol;Women and men - Different but equal: On the impact of identifier style on source code reading.;27-36;10;Main Research Track;Cognitive Processes;selected
2012;Takashi Ishio,Shogo Etsuda,Katsuro Inoue;A lightweight visualization of interprocedural data-flow paths for source code reading.;37-46;10;Main Research Track;Cognitive Processes;selected
2012;Don S. Batory,Janet Feigenspan,Taylor L. Riche;Is the derivation of a model easier to understand than the model itself?;47-52;6;Main Research Track;Cognitive Processes;selected
2012;Chandan Raj Rupakheti,Daqing Hou;Evaluating forum discussions to inform the design of an API critic.;53-62;10;The Role of the Developer;;selected
2012;Gerardo Canfora,Jairo Aponte,Sebastiano Panichella,Andrian Marcus,Massimiliano Di Penta;Mining source code descriptions from developer communications.;63-72;10;The Role of the Developer;;selected
2012;Janet Feigenspan,Sven Apel,Christian Kastner,Stefan Hanenberg,Jorg Liebig;Measuring programming experience.;73-82;10;The Role of the Developer;;selected
2012;Dror G. Feitelson,Adam Matan,Ahmad Jbara;High-MCC functions in the Linux kernel.;83-92;10;Measurement;;selected
2012;Gregor Kiczales,John-Jose Nunez;Understanding registration-based abstractions: A quantitative user study.;93-102;10;Measurement;;selected
2012;Claudio Sant'Anna,Bruno Carreiro da Silva,Christina von Flach G. Chavez,Alessandro Garcia;Concern-based cohesion: Unveiling a hidden dimension of cohesion measurement.;103-112;10;Measurement;;selected
2012;Meiyappan Nagappan,Ahmed E. Hassan,Israel J. Mojica Ruiz,Bram Adams;Understanding reuse in the Android Market.;113-122;10;Measurement;;selected
2012;Chris Parnin,Spencer Rugaber;Programmer information needs after memory failure.;123-132;10;Understanding and Architecture;;selected
2012;Abdelwahab Hamou-Lhadj,Luay Alawneh;Identifying computational phases from inter-process communication traces of HPC applications.;133-142;10;Understanding and Architecture;;selected
2012;Leon Moonen,Amir Reza Yazdanshenas;Tracking and visualizing information flow in component-based systems.;143-152;10;Understanding and Architecture;;selected
2012;Romain Robbes,Stefan Hanenberg,Sebastian Kleinschmager,Andreas Stefik,Eric Tanter;Do static type systems improve the maintainability of software systems? An empirical study.;153-162;10;Empirical Studies;;selected
2012;Giuliano Antoniol,Bertrand Van den Plas,Yann-Gael Gueheneuc,Zohreh Sharafi,Zephyrin Soh,Gerardo Cepeda Porras;Professional status and expertise for UML class diagram comprehension: An empirical study.;163-172;10;Empirical Studies;;selected
2012;Christopher S. Corley,Nicholas A. Kraft,Elizabeth A. Kammer;Modeling the ownership of source code topics.;173-182;10;Semantics and Traceability;;selected
