2012;Mauro Pezze;From off-Line to continuous on-line maintenance.;2-3;2;;
2012;Lori L. Pollock;Leveraging natural language analysis of software: Achievements, challenges, and opportunities.;4;1;;
2012;Lijie Zou,Michael W. Godfrey;An industrial case study of Coman's automated task detection algorithm: What Worked, What Didn't, and Why.;6-14;9;;
2012;Fleur Duseau,Bruno Dufour,Houari A. Sahraoui;Vasco: A visual approach to explore object churn in framework-intensive applications.;15-24;10;;
2012;Seyed Mehdi Nasehi,Jonathan Sillito,Frank Maurer,Chris Burns;What makes a good code example?: A study of programming Q&A in StackOverflow.;25-34;10;;
2012;Andrew Sutton,Marcin Zalewski;Testing C++ generic libraries.;36-45;10;;
2012;Arpad Beszedes,Tamas Gergely,Lajos Schrettner,Judit Jasz,Laszlo Lango,Tibor Gyimothy;Code coverage-based regression test selection and prioritization in WebKit.;46-55;10;;
2012;Gabriele Bavota,Abdallah Qusef,Rocco Oliveto,Andrea De Lucia,David Binkley;An empirical analysis of the distribution of unit test smells and their impact on software maintenance.;56-65;10;;
2012;Liang Gong,David Lo,Lingxiao Jiang,Hongyu Zhang;Interactive fault localization leveraging simple user feedback.;67-76;10;;
2012;Chandan Raj Rupakheti,Daqing Hou;Finding errors from reverse-engineered equality models using a constraint solver.;77-86;10;;
2012;Benjamin Biegel,Fabian Beck,Willi Hornig,Stephan Diehl;The Order of Things: How developers sort fields and methods.;88-97;10;;
2012;Aditya Kumar,Andrew Sutton,Bjarne Stroustrup;Rejuvenating C++ programs through demacrofication.;98-107;10;;
2012;Neha Rungta,Suzette Person,Joshua Branchaud;A change impact analysis to characterize evolving program behaviors.;109-118;10;;
2012;Amir Reza Yazdanshenas,Leon Moonen;Fine-grained change impact analysis for component-based product families.;119-128;10;;
2012;Xiao Qu,Mithun Acharya,Brian Robinson;Configuration selection using code change impact analysis for regression testing.;129-138;10;;
2012;Andrew Neitsch,Kenny Wong,Michael W. Godfrey;Build system issues in multilanguage software.;140-149;10;;
2012;Jafar M. Al-Kofahi,Hung Viet Nguyen,Anh Tuan Nguyen,Tung Thanh Nguyen,Tien N. Nguyen;Detecting semantic changes in Makefile build code.;150-159;10;;
2012;Roman Suvorov,Meiyappan Nagappan,Ahmed E. Hassan,Ying Zou,Bram Adams;An empirical study of build system migrations in practice: Case studies on KDE and the Linux kernel.;160-169;10;;
2012;Patrick Maeder,Alexander Egyed;Assessing the effect of requirements traceability for software maintenance.;171-180;10;;
2012;Hongyu Kuang,Patrick Maeder,Hao Hu,Achraf Ghabi,LiGuo Huang,Lv Jian,Alexander Egyed;Do data dependencies in source code complement call dependencies for understanding requirements traceability?;181-190;10;;
2012;Nasir Ali,Zohreh Sharafi,Yann-Gael Gueheneuc,Giuliano Antoniol;An empirical study on requirements traceability using eye-tracking.;191-200;10;;
2012;Tejinder Dhaliwal,Foutse Khomh,Ying Zou,Ahmed E. Hassan;Recovering commit dependencies for selective code integration in software product lines.;202-211;10;;
2012;Ameni ben Fadhel,Marouane Kessentini,Philip Langer,Manuel Wimmer;Search-based detection of high-level model changes.;212-221;10;;
2012;Yoshiki Higo,Shinji Kusumoto;How often do unintended inconsistencies happen? Deriving modification patterns and detecting overlooked code fragments.;222-231;10;;
2012;Anna Corazza,Sergio Di Martino,Valerio Maggio;LINSEN: An efficient approach to split identifiers and expand abbreviations.;233-242;10;;
2012;Abram Hindle,Christian Bird,Thomas Zimmermann,Nachiappan Nagappan;Relating requirements to implementation via topic analysis: Do topics extracted from requirements make sense to managers and developers?;243-252;10;;
2012;Yuhua Qi,Xiaoguang Mao,Yan Lei;Making automatic repair for large-scale programs more efficient using weak recompilation.;254-263;10;;
2012;Masao Ohira,Ahmed E. Hassan,Naoya Osawa,Ken-ichi Matsumoto;The impact of bug management patterns on bug fixing: A case study of Eclipse projects.;264-273;10;;
2012;Hamid Abdul Basit,Usman Ali,Sidra Haque,Stanislaw Jarzabek;Things structural clones tell that simple clones don't.;275-284;10;;
2012;Gang Zhang,Xin Peng,Zhenchang Xing,Wenyun Zhao;Cloning practices: Why developers clone and what can be changed.;285-294;10;;
2012;Manar H. Alalfi,James R. Cordy,Thomas Roy Dean,Matthew Stephan,Andrew Stevenson;Models are code too: Near-miss clone detection for Simulink models.;295-304;10;;
2012;Aiko Fallas Yamashita,Leon Moonen;Do code smells reflect important maintainability aspects?;306-315;10;;
2012;Tibor Bakota,Peter Hegedus,Gergely Ladanyi,Peter Kortvelyesi,Rudolf Ferenc,Tibor Gyimothy;A cost model based on software maintainability.;316-325;10;;
2012;Amjed Tahir,Stephen G. MacDonell;A systematic mapping study on dynamic metrics and software quality.;326-335;10;;
2012;Carlos Noguera,Andy Kellens,Coen De Roover,Viviane Jonckers;Refactoring in the presence of annotations.;337-346;10;;
2012;Ali Ouni,Marouane Kessentini,Houari A. Sahraoui,Mohamed Salah Hamdi;Search-based refactoring: Towards semantics preservation.;347-356;10;;
2012;Napol Rachatasumrit,Miryung Kim;An empirical investigation into the impact of refactoring on regression testing.;357-366;10;;
2012;John Businge,Alexander Serebrenik,Mark van den Brand;Survival of Eclipse third-party plug-ins.;368-377;10;;
2012;Steven Raemaekers,Arie van Deursen,Joost Visser;Measuring software library stability through historical version analysis.;378-387;10;;
2012;Hui Song,Gang Huang 0001,Yingfei Xiong,Yanchun Sun;Inferring the data access from the clients of generic APIs.;388-397;10;;
2012;Sandro Badame,Danny Dig;Refactoring meets spreadsheet formulas.;399-409;11;;
