2012;Tao Xie;Cooperative Testing and Analysis: Human-Tool, Tool-Tool and Human-Human Cooperations to Get Work Done.;1-3;3;;
2012;Tobias Gutzmann,Jonas Lundberg,Welf Lowe;Collections Frameworks for Points-To Analysis.;4-13;10;;
2012;Edward Aftandilian,Raluca Sauciuc,Siddharth Priya,Sundaresan Krishnan;Building Useful Program Analysis Tools Using an Extensible Java Compiler.;14-23;10;;
2012;Lajos Schrettner,Judit Jasz,Tamas Gergely,Arpad Beszedes,Tibor Gyimothy;Impact Analysis in the Presence of Dependence Clusters Using Static Execute after in WebKit.;24-33;10;;
2012;German Vidal;Closed Symbolic Execution for Verifying Program Termination.;34-43;10;;
2012;Francois Gauthier,Ettore Merlo;Alias-Aware Propagation of Simple Pattern-Based Properties in PHP Applications.;44-53;10;;
2012;Jun Yuan,Rob Johnson;CAWDOR: Compiler Assisted Worm Defense.;54-63;10;;
2012;Hiroaki Murakami,Keisuke Hotta,Yoshiki Higo,Hiroshi Igaki,Shinji Kusumoto;Folding Repeated Instructions for Improving Token-Based Code Clone Detection.;64-73;10;;
2012;Saman Bazrafshan;Evolution of Near-Miss Clones.;74-83;10;;
2012;Chris Wilcox,Michelle Mills Strout,James M. Bieman;Optimizing Expression Selection for Lookup Table Program Transformation.;84-93;10;;
2012;Philip Mayer,Andreas Schroeder;Cross-Language Code Analysis and Refactoring.;94-103;10;;
2012;Gabriele Bavota,Bernardino De Carluccio,Andrea De Lucia,Massimiliano Di Penta,Rocco Oliveto,Orazio Strollo;When Does a Refactoring Induce Bugs? An Empirical Study.;104-113;10;;
2012;Andrea Zambon;Aucsmith-Like Obfuscation of Java Bytecode.;114-119;6;;
2012;Christian Zoller,Axel Schmolitzky;AccessAnalysis: A Tool for Measuring the Appropriateness of Access Modifiers in Java Systems.;120-125;6;;
2012;Mihai T. Lazarescu,Luciano Lavagno;Dynamic Trace-Based Data Dependency Analysis for Parallelization of C Programs.;126-131;6;;
2012;Hariharan Thiagarajan,John Hatcliff,Jason Belt,Robby;Bakar Alir: Supporting Developers in Construction of Information Flow Contracts in SPARK.;132-137;6;;
2012;Ulf Kargen,Nahid Shahmehri;InputTracer: A Data-Flow Analysis Tool for Manual Program Comprehension of x86 Binaries.;138-143;6;;
